Country	y2008	y2009	y2010	y2011
Germany	66.7	74.4	83.0	81.2
Ireland	44.2	65.1	92.5	108.2
Greece	113.0	129.4	145.0	165.3
Spain	40.2	53.9	61.2	68.5
France	68.2	79.2	82.3	85.8
Italy	105.7	116.0	118.6	120.1
Finland	33.9	43.5	48.4	48.6
Sweden	38.8	42.6	39.4	38.4
United Kingdom	54.8	69.6	79.6	85.7
Iceland	70.3	87.9	93.1	98.8
Norway	48.2	43.5	43.7	29.0
